===== PRRP Execution Time Profiling =====

         165451760 function calls (165445331 primitive calls) in 61.174 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1720(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/prrp/lib/python3.11/logging/__init__.py:1319(disable)




===== Memory Usage Profiling =====

Function: run_graph_prrp
  Peak Memory Usage: 2237.08 MiB
